WSL,Features,RF_accuracy,RF_precision,RF_recall,RF_f1,RF_specificity,KNC_accuracy,KNC_precision,KNC_recall,KNC_f1,KNC_specificity
Walking,1,0.9961818574475612,0.9966359672535203,0.9961754038905374,0.9964053493727534,0.9961892062875194,0.7389134494065506,0.7465409619901469,0.7699307616221562,0.7580416262915446,0.7037663889870698
Walking,2,0.9997197714365649,0.9997033401500441,0.9997692054071876,0.9997362401774321,0.9996637608862071,0.7528898911878776,0.7586618839336409,0.7843719090009891,0.771287961738002,0.7172158837419798
Walking,3,1.0,1.0,1.0,1.0,1.0,0.7549739726409801,0.7585629202010375,0.7902736564457633,0.7740840115248482,0.714973842950495
Walking,4,1.0,1.0,1.0,1.0,1.0,0.7358483777879828,0.7465669134003907,0.761127596439169,0.7537714341636799,0.7072028624506049
Walking,5,1.0,1.0,1.0,1.0,1.0,0.7408574687277499,0.7522397678775168,0.7637322782723376,0.7579337864565534,0.714936320189758
Walking,6,1.0,1.0,1.0,1.0,1.0,0.7419959697396098,0.753424808066196,0.764523574019123,0.7589292279031842,0.7164686670988486
Walking,7,1.0,1.0,1.0,1.0,1.0,0.7482660616061101,0.7634950716949455,0.762248598747115,0.7628630956371545,0.7324215777092467
Walking,8,1.0,1.0,1.0,1.0,1.0,0.7650447951570614,0.7777332338530933,0.7808770194526871,0.779295237830488,0.7471045494672269
Walking,9,1.0,1.0,1.0,1.0,1.0,0.7664285291390158,0.7791269070809457,0.781998021760633,0.780555308706655,0.7487859125485158
Walking,10,1.0,1.0,1.0,1.0,1.0,0.7671291312239654,0.7798354366334597,0.782558522914606,0.7811895734967994,0.7496450693026405
Walking,11,1.0,1.0,1.0,1.0,1.0,0.7669012702774585,0.7796143823197543,0.7823936696340258,0.7809920300742242,0.7493459900062147
Walking,12,1.0,1.0,1.0,1.0,1.0,0.7725759861146517,0.7888158686463077,0.7809759314210352,0.7848691622794541,0.7630574461182646
Walking,13,1.0,1.0,1.0,1.0,1.0,0.73879077156878,0.7452506302515862,0.7722716782063964,0.7585175063474423,0.7008515070246293
Walking,14,1.0,1.0,1.0,1.0,1.0,0.739999377269859,0.7476108843675502,0.7707879986811738,0.7590118432408949,0.7051110941737538
Walking,15,1.0,1.0,1.0,1.0,1.0,0.7424689685594902,0.7501815475962536,0.7724365314869768,0.7611427012010294,0.7085110639098604
Walking,16,1.0,1.0,1.0,1.0,1.0,0.7195600120128631,0.7268183474138323,0.7564127926145731,0.7413116779193613,0.6777998009953582
Walking,17,1.0,1.0,1.0,1.0,1.0,0.7133949038587488,0.7206525339761999,0.7519617540389054,0.7359591956681735,0.669693181634172
Walking,18,1.0,1.0,1.0,1.0,1.0,0.6906262333814644,0.6985937722668265,0.7345202769535114,0.7160984395120493,0.6408878739503259
Walking,19,1.0,1.0,1.0,1.0,1.0,0.6900658376073173,0.698203316140001,0.7336960105506101,0.7154994711146144,0.6406259125931857
Walking,20,1.0,1.0,1.0,1.0,1.0,0.6909241008528335,0.6988219109048982,0.7349488954830201,0.7164124083073016,0.6410375741311833
Walking,21,1.0,1.0,1.0,1.0,1.0,0.6901009190944707,0.6984911069738061,0.7330695680844048,0.7153513904986001,0.6414104705253688
Walking,22,1.0,1.0,1.0,1.0,1.0,0.689943408248076,0.6981316696334473,0.7334981866139136,0.7153622998011565,0.6405895345000008
Walking,23,1.0,1.0,1.0,1.0,1.0,0.6900132951351278,0.6978925659049305,0.734355423672931,0.715653156626281,0.6397667418797004
Walking,24,1.0,1.0,1.0,1.0,1.0,0.6902934899545652,0.6989392323925678,0.7325090669304319,0.7153256159888788,0.6424569479366111
Walking,25,1.0,1.0,1.0,1.0,1.0,0.6915371341958914,0.7002329757221368,0.7332344213649852,0.7163445718041184,0.6442878297270722
Walking,26,1.0,1.0,1.0,1.0,1.0,0.6901708182520669,0.6985122991941454,0.7332673920211012,0.7154506333050838,0.6413354808413363
Walking,27,1.0,1.0,1.0,1.0,1.0,0.6903110030894164,0.6990047060609673,0.7324101549620837,0.7153087591031897,0.6426065643613061
Walking,28,1.0,1.0,1.0,1.0,1.0,0.690538689180662,0.6996408367027636,0.7315199472469501,0.7152136400778379,0.6441001321672243
Walking,29,1.0,1.0,1.0,1.0,1.0,0.6904686550470743,0.6999316529937365,0.7305308275634685,0.7148870783786647,0.645071731569317
Walking,30,1.0,1.0,1.0,1.0,1.0,0.6900309647194234,0.6988837068524407,0.7318166831519948,0.714962758967326,0.6426815959234201
Walking,31,1.0,1.0,1.0,1.0,1.0,0.6905563556973212,0.6996750194193833,0.7314540059347181,0.7151965177737325,0.644213175067689
Walking,32,1.0,1.0,1.0,1.0,1.0,0.6907838638656694,0.6997441611913465,0.7320474777448072,0.7155219752362726,0.6440258264918508
Standing,1,0.9998651011734457,1.0,0.9997215250772987,0.9998607409941265,1.0,0.7880600361563544,0.7547321427713239,0.8333180593477175,0.7920695033504512,0.7455377103944494
Standing,2,1.0,1.0,1.0,1.0,1.0,0.7860814481378471,0.7560029231747086,0.8245305667405181,0.7887747668957823,0.74995645874612
Standing,3,1.0,1.0,1.0,1.0,1.0,0.7775979516192173,0.7475186746143255,0.8167643244129428,0.7806008690720398,0.7407987381404817
Standing,4,1.0,1.0,1.0,1.0,1.0,0.7785572493886168,0.7482099592633729,0.8182801932700233,0.7816583589958002,0.7412348607288489
Standing,5,1.0,1.0,1.0,1.0,1.0,0.7779425972039039,0.7472096806097924,0.8185277754794977,0.7812377573270471,0.7398103660474584
Standing,6,1.0,1.0,1.0,1.0,1.0,0.7786920808129392,0.7486961412997812,0.8175995289292161,0.7816251326901303,0.7421362263908519
Standing,7,1.0,1.0,1.0,1.0,1.0,0.7778676818700938,0.7479504545584652,0.8166711770411025,0.7807950324954046,0.7414091863508185
Standing,8,1.0,1.0,1.0,1.0,1.0,0.7784372644292001,0.748304046476274,0.8176614388458345,0.7814373077107828,0.7415837402030065
Standing,9,1.0,1.0,1.0,1.0,1.0,0.7783173288980867,0.7476419671377447,0.8187442926047479,0.7815721427980753,0.7403336049554697
Standing,10,1.0,1.0,1.0,1.0,1.0,0.7780325230147167,0.7479981065503633,0.8170734239162076,0.7810051041867395,0.7413512665931822
Standing,11,1.0,1.0,1.0,1.0,1.0,0.7778376788900164,0.7483430133073019,0.8157120856584266,0.7805715934884034,0.7422522687774299
Standing,12,1.0,1.0,1.0,1.0,1.0,0.7775829568694018,0.7480435224532773,0.815557516754461,0.7803399231689069,0.741903524550809
Standing,13,1.0,1.0,1.0,1.0,1.0,0.776173998591563,0.7465868569371226,0.8143815730807062,0.7790095282037465,0.7402756936508043
Standing,14,1.0,1.0,1.0,1.0,1.0,0.7761739851111166,0.7463933135581076,0.81481484673537,0.7791006858536415,0.7398685393942263
Standing,15,1.0,1.0,1.0,1.0,1.0,0.7756943351030463,0.7458963477902409,0.8144124753700996,0.7786465581762034,0.7393162138128309
Standing,16,1.0,1.0,1.0,1.0,1.0,0.7765487235455227,0.7471126429603655,0.8144127339265961,0.779303482338132,0.7409731313862198
Standing,17,1.0,1.0,1.0,1.0,1.0,0.7762489588601942,0.7466914077928143,0.8143814773190412,0.7790620340208524,0.740420924146419
Standing,18,1.0,1.0,1.0,1.0,1.0,0.7757693245793111,0.7466158750349579,0.8130511083838188,0.7784148161764692,0.7407407761179898
Standing,19,1.0,1.0,1.0,1.0,1.0,0.7758143380363915,0.7464682864936549,0.8135153513610414,0.7785470687951224,0.7403919727205718
Standing,20,1.0,1.0,1.0,1.0,1.0,0.7757393440666445,0.7463792636170039,0.8134841426343191,0.7784842094911847,0.7402757443686306
Standing,21,1.0,1.0,1.0,1.0,1.0,0.7758742653606091,0.7465496839683604,0.8135769452641641,0.7786007520147918,0.7404500953495134
Standing,22,1.0,1.0,1.0,1.0,1.0,0.7769234844473394,0.7472089771819725,0.815340750648881,0.7797813827068787,0.7408281544797365
Standing,23,1.0,1.0,1.0,1.0,1.0,0.776863444786069,0.7472133991363797,0.8151552028461898,0.7797022777353246,0.7408862263908518
Standing,24,1.0,1.0,1.0,1.0,1.0,0.7763688786641202,0.7470217687421734,0.8140412840030521,0.7790856422090215,0.7409732328218721
Standing,25,1.0,1.0,1.0,1.0,1.0,0.7764288194687842,0.7470216039636888,0.8142271095145727,0.7791690991196942,0.7409153891409752
Standing,26,1.0,1.0,1.0,1.0,1.0,0.7768184695235866,0.7469359607915346,0.8156191968430827,0.7797652947036162,0.7403629536709562
Standing,27,1.0,1.0,1.0,1.0,1.0,0.7763389633069441,0.746423498709848,0.8152790418317599,0.7793215516949967,0.7397523702130825
Standing,28,1.0,1.0,1.0,1.0,1.0,0.7764136741873178,0.7465440367572075,0.8152479097143697,0.7793801958263182,0.7399266282112837
Standing,29,1.0,1.0,1.0,1.0,1.0,0.7757992062353714,0.7463371270195026,0.8137935773034128,0.7785946509160272,0.7401008946624559
Standing,30,1.0,1.0,1.0,1.0,1.0,0.7760840548068216,0.7466234432495875,0.8140413989170504,0.7788674657244633,0.7404208227107664
Standing,31,1.0,1.0,1.0,1.0,1.0,0.7774629988708778,0.7473560289977207,0.8167022517014934,0.780486492696823,0.7405953596570123
Standing,32,1.0,1.0,1.0,1.0,1.0,0.7760690128754439,0.7464083798457828,0.8144742991012194,0.7789510971532578,0.7399846324986306
Lying,1,0.5746021378094385,0.6897430581901035,0.6139753090602897,0.6489777428085033,0.5039415530861431,0.6066214561266482,0.653084430604189,0.826083713556328,0.7282114167488172,0.21273028612808947
Lying,2,1.0,1.0,1.0,1.0,1.0,0.7341350333236742,0.7566866126394658,0.8637550814050226,0.8066799548834902,0.5014924954955731
Lying,3,1.0,1.0,1.0,1.0,1.0,0.7540744124535864,0.7744076743795015,0.8707063780865534,0.8197365260694947,0.5447430153844974
Lying,4,1.0,1.0,1.0,1.0,1.0,0.7842550143635258,0.7984896865404224,0.8882073656111966,0.8409602404202599,0.5976809505609819
Lying,5,1.0,1.0,1.0,1.0,1.0,0.774801769123543,0.7932268756813621,0.8782847343402667,0.8335882392768562,0.5890697125308797
Lying,6,1.0,1.0,1.0,1.0,1.0,0.7898219562636888,0.8038164232339575,0.8899521039402011,0.8446833724339046,0.6101087384443851
Lying,7,1.0,1.0,1.0,1.0,1.0,0.790014551680991,0.8042767075765653,0.8894883834704574,0.8447342932993074,0.6114775717379664
Lying,8,1.0,1.0,1.0,1.0,1.0,0.781734100957029,0.7983206185631488,0.8832734131021411,0.8386471423173294,0.5994913661560213
Lying,9,1.0,1.0,1.0,1.0,1.0,0.7902247031317341,0.8044343622665696,0.8896250987896173,0.8448857171086136,0.611820492484001
Lying,10,1.0,1.0,1.0,1.0,1.0,0.7903820363258203,0.8046090141004347,0.8896245414958004,0.8449814302388384,0.612260901383465
Lying,11,1.0,1.0,1.0,1.0,1.0,0.7904872223701312,0.8047091859328642,0.8896795724025723,0.8450610370913318,0.612456260841995
Lying,12,1.0,1.0,1.0,1.0,1.0,0.7890867969803009,0.8039872787367489,0.8880985149828815,0.8439507482591985,0.6113803709482909
Lying,13,1.0,1.0,1.0,1.0,1.0,0.7933756847741722,0.8088801914738811,0.8880982623430178,0.8466363376871879,0.6233670794168049
Lying,14,1.0,1.0,1.0,1.0,1.0,0.7923078372780934,0.8088789544104348,0.8859175864986879,0.8456456098493789,0.6242964616901012
Lying,15,1.0,1.0,1.0,1.0,1.0,0.7939358016092836,0.8098761176818995,0.8874712919378458,0.8468958712144437,0.6260580972879566
Lying,16,1.0,1.0,1.0,1.0,1.0,0.793410781518979,0.809247770840153,0.8875259587459908,0.8465761304917919,0.624492874815728
Lying,17,1.0,1.0,1.0,1.0,1.0,0.7943035160852367,0.809592739211434,0.8887254779574691,0.8473107101287187,0.6248353645161322
Lying,18,1.0,1.0,1.0,1.0,1.0,0.7934807788860336,0.8089663657016362,0.8881527508171413,0.8467083477276581,0.6235627022921092
Lying,19,1.0,1.0,1.0,1.0,1.0,0.7461092440652088,0.7702773880555431,0.8616289757712426,0.8133940158055409,0.5387736560236711
Lying,20,1.0,1.0,1.0,1.0,1.0,0.7452689171239999,0.7695633278134204,0.8612473929795245,0.8128235314841754,0.5371107059282185
Lying,21,1.0,1.0,1.0,1.0,1.0,0.7466170605297957,0.7703329925345164,0.8626377147327382,0.8138747441354444,0.5383828173717136
Lying,22,1.0,1.0,1.0,1.0,1.0,0.7459866613370362,0.7703491982709371,0.8611928896442326,0.813239825189321,0.5392139930821965
Lying,23,1.0,1.0,1.0,1.0,1.0,0.7456190878241722,0.7697150830013365,0.8617109499764153,0.8131113191466832,0.5372570219727906
Lying,24,1.0,1.0,1.0,1.0,1.0,0.7466869659644009,0.7707732159162268,0.8618745640104706,0.813776764125105,0.539948279313737
Lying,25,1.0,1.0,1.0,1.0,1.0,0.7460742882834912,0.7703395726712308,0.8614382846882706,0.8133396003874376,0.5390189449343996
Lying,26,1.0,1.0,1.0,1.0,1.0,0.7464593994433061,0.7704633885850777,0.862010670021724,0.8136659247911796,0.5390678925604397
Lying,27,1.0,1.0,1.0,1.0,1.0,0.7459691819139699,0.7696641511431842,0.8625829810493352,0.8134737571746271,0.5366705604455287
Lying,28,1.0,1.0,1.0,1.0,1.0,0.7469145815161353,0.7708228115021453,0.8622831941287684,0.81398798228966,0.5398501445918621
Lying,29,1.0,1.0,1.0,1.0,1.0,0.7465293906815309,0.7701922701219787,0.8627466545280642,0.813840847168961,0.5379419774266193
Lying,30,1.0,1.0,1.0,1.0,1.0,0.7462668009615889,0.7708438162979968,0.86081115824083,0.8133426185216696,0.5406813442493246
Lying,31,1.0,1.0,1.0,1.0,1.0,0.7461793609444477,0.7702578239908029,0.8618197411600569,0.8134660499311888,0.5386273160321196
Lying,32,1.0,1.0,1.0,1.0,1.0,0.7461967974657042,0.7701909208667107,0.8620106848828926,0.8135104453887246,0.538332576608782
